[2026-06-09 14:41:07,144] 1025 httpx - INFO - HTTP Request: POST https://raymaznrtwdqqazipgat.supabase.co/auth/v1/token?grant_type=password "HTTP/2 400 Bad Request"
[2026-06-09 14:41:25,471] 1025 httpx - INFO - HTTP Request: POST https://raymaznrtwdqqazipgat.supabase.co/auth/v1/token?grant_type=password "HTTP/2 200 OK"
[2026-06-09 14:42:04,997] 1025 httpx - INFO - HTTP Request: GET https://raymaznrtwdqqazipgat.supabase.co/auth/v1/user "HTTP/1.1 200 OK"
[2026-06-09 14:42:05,004] 28 root - INFO - Entered data ingestion method
[2026-06-09 14:42:05,300] 50 root - INFO - Data parsing successful
[2026-06-09 14:42:05,387] 55 root - INFO - Data Ingestion complete!
[2026-06-09 14:42:05,392] 181 root - INFO - Entered data transformation object
[2026-06-09 14:42:05,558] 194 root - INFO - Data parsing complete
[2026-06-09 14:42:05,603] 53 root - INFO - Pipeline parsing complete
[2026-06-09 14:42:06,738] 1025 httpx - INFO - HTTP Request: POST https://raymaznrtwdqqazipgat.supabase.co/rest/v1/transactions?on_conflict=transaction_id&columns=%22number%22%2C%22txn_type%22%2C%22user_id%22%2C%22balance%22%2C%22amount%22%2C%22name%22%2C%22body%22%2C%22timestamp%22 "HTTP/2 400 Bad Request"
[2026-06-09 14:43:30,301] 1025 httpx - INFO - HTTP Request: GET https://raymaznrtwdqqazipgat.supabase.co/auth/v1/user "HTTP/1.1 200 OK"
[2026-06-09 14:43:30,340] 28 root - INFO - Entered data ingestion method
[2026-06-09 14:43:30,597] 50 root - INFO - Data parsing successful
[2026-06-09 14:43:30,606] 55 root - INFO - Data Ingestion complete!
[2026-06-09 14:43:30,606] 181 root - INFO - Entered data transformation object
[2026-06-09 14:43:30,771] 194 root - INFO - Data parsing complete
[2026-06-09 14:43:31,014] 53 root - INFO - Pipeline parsing complete
[2026-06-09 14:43:32,141] 1025 httpx - INFO - HTTP Request: POST https://raymaznrtwdqqazipgat.supabase.co/rest/v1/transactions?on_conflict=transaction_id&columns=%22number%22%2C%22txn_type%22%2C%22user_id%22%2C%22balance%22%2C%22amount%22%2C%22name%22%2C%22body%22%2C%22timestamp%22 "HTTP/2 400 Bad Request"
